region,sexo,edad,educc,activ,yoprcor,ypchtotcor,pueblos_indigenas,lugar_nac,pobreza
14,Mujer,76,Media completa,Inactivo/a,NA,872432,No pertenece,Nacido/a en Chile,No pobre
2,Hombre,29,Superior completa,Ocupado/a,700000,331402,No pertenece,Nacido/a fuera de Chile,No pobre
9,Mujer,70,Básica incompleta,Inactivo/a,NA,289296,Pertenece,Nacido/a en Chile,Pobreza multidimensional
4,Mujer,15,Media incompleta,Inactivo/a,NA,171327,Pertenece,Nacido/a en Chile,Pobreza por ingresos
6,Hombre,31,Media completa,Ocupado/a,600000,300000,No pertenece,Nacido/a en Chile,Pobreza multidimensional
13,Hombre,39,Superior completa,Ocupado/a,1100000,270000,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,32,Superior completa,Ocupado/a,400000,468912,Pertenece,Nacido/a en Chile,No pobre
10,Mujer,90,Básica incompleta,Inactivo/a,NA,665977,Pertenece,Nacido/a en Chile,No pobre
6,Hombre,76,Básica incompleta,Inactivo/a,NA,349250,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,66,Media completa,Inactivo/a,NA,972083,No pertenece,Nacido/a en Chile,No pobre
6,Mujer,28,Superior incompleta,Ocupado/a,900000,1200000,No pertenece,Nacido/a en Chile,No pobre
10,Mujer,6,Sin educación formal,NA,NA,194736,No pertenece,Nacido/a en Chile,Pobreza multidimensional
13,Hombre,12,Básica incompleta,NA,NA,1236250,No pertenece,Nacido/a en Chile,No pobre
9,Mujer,29,Superior completa,Ocupado/a,500000,1050000,No pertenece,Nacido/a en Chile,No pobre
13,Mujer,17,Media incompleta,Inactivo/a,NA,264050,No pertenece,Nacido/a fuera de Chile,Pobreza multidimensional
2,Hombre,49,Superior incompleta,Ocupado/a,900000,341619,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,65,Básica incompleta,Ocupado/a,430000,331998,No pertenece,Nacido/a fuera de Chile,Pobreza multidimensional
5,Mujer,31,Media completa,Inactivo/a,NA,196667,No pertenece,Nacido/a en Chile,Pobreza por ingresos
5,Mujer,11,Básica incompleta,NA,NA,356326,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,32,Media completa,Inactivo/a,NA,268074,No pertenece,Nacido/a en Chile,No pobre
9,Hombre,33,Superior completa,Ocupado/a,750000,585250,Pertenece,Nacido/a en Chile,No pobre
7,Mujer,78,Sin educación formal,Inactivo/a,NA,746499,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,51,Básica incompleta,Inactivo/a,NA,396000,No pertenece,Nacido/a en Chile,No pobre
2,Mujer,18,Media completa,Inactivo/a,NA,394500,No pertenece,Nacido/a fuera de Chile,No pobre
13,Hombre,81,Media incompleta,Inactivo/a,NA,535398,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,30,Superior completa,Inactivo/a,NA,399375,No pertenece,Nacido/a en Chile,No pobre
13,Hombre,52,Básica completa,Ocupado/a,600000,402389,No pertenece,Nacido/a en Chile,No pobre
16,Mujer,30,Superior completa,Ocupado/a,900000,1168333,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,17,Media incompleta,Inactivo/a,NA,635833,No pertenece,Nacido/a en Chile,NA
9,Hombre,52,Básica incompleta,Ocupado/a,400000,554167,Pertenece,Nacido/a en Chile,Pobreza multidimensional
2,Hombre,38,Superior completa,Ocupado/a,400000,800000,No pertenece,Nacido/a en Chile,No pobre
14,Hombre,33,Superior incompleta,Ocupado/a,300000,188432,No pertenece,Nacido/a en Chile,Pobreza severa
13,Hombre,33,Superior completa,Ocupado/a,10000000,2737500,No pertenece,Nacido/a en Chile,No pobre
7,Mujer,23,Superior incompleta,Inactivo/a,NA,235710,No pertenece,Nacido/a en Chile,No pobre
4,Hombre,14,Básica completa,NA,NA,1112500,No pertenece,Nacido/a en Chile,No pobre
1,Hombre,14,Básica completa,NA,NA,226510,No pertenece,Nacido/a fuera de Chile,Pobreza por ingresos
13,Hombre,3,Sin educación formal,NA,NA,285692,No pertenece,Nacido/a en Chile,No pobre
7,Hombre,13,Básica completa,NA,NA,581389,No pertenece,Nacido/a en Chile,No pobre
15,Mujer,70,Media incompleta,Inactivo/a,NA,190398,No pertenece,Nacido/a en Chile,Pobreza por ingresos
5,Mujer,54,Media completa,Inactivo/a,NA,366667,No pertenece,Nacido/a en Chile,No pobre
5,Hombre,33,Superior completa,Ocupado/a,2000000,2612166,No pertenece,Nacido/a en Chile,No pobre
5,Mujer,22,Superior incompleta,Inactivo/a,NA,362765,No pertenece,Nacido/a en Chile,NA
13,Hombre,5,Sin educación formal,NA,NA,533333,No pertenece,Nacido/a en Chile,No pobre
1,Mujer,16,Media incompleta,Inactivo/a,NA,226510,No pertenece,Nacido/a fuera de Chile,Pobreza por ingresos
4,Hombre,70,Básica incompleta,Inactivo/a,NA,412148,No pertenece,Nacido/a en Chile,No pobre
8,Hombre,24,Media completa,Inactivo/a,NA,216036,No pertenece,Nacido/a en Chile,No pobre
10,Hombre,48,Superior completa,Inactivo/a,NA,351667,No pertenece,Nacido/a en Chile,No pobre
15,Hombre,0,Sin educación formal,NA,NA,1111111,Pertenece,Nacido/a en Chile,No pobre
8,Mujer,18,Media completa,Inactivo/a,NA,280883,No pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Hombre,53,Básica incompleta,Ocupado/a,600000,248894,No pertenece,Nacido/a en Chile,No pobre
1,Hombre,50,Básica incompleta,Ocupado/a,500000,612000,No pertenece,Nacido/a fuera de Chile,No pobre
15,Mujer,55,Media completa,Inactivo/a,NA,300000,Pertenece,Nacido/a en Chile,Pobreza por ingresos
5,Hombre,62,Media incompleta,Ocupado/a,560000,632246,No pertenece,Nacido/a en Chile,Pobreza multidimensional
8,Mujer,47,Media completa,Ocupado/a,300000,635417,No pertenece,Nacido/a en Chile,No pobre
6,Hombre,54,Superior completa,Ocupado/a,600000,312500,No pertenece,Nacido/a en Chile,No pobre
