region,area,sexo,edad,ecivil,educc,e3,activ,o15,o10,o19,yoprcor,ypchtotcor,pobreza_severa,pueblos_indigenas,lugar_nac
10,1,2,7,NA,1,1,NA,NA,NA,NA,NA,429079,4,1,0
13,1,1,64,1,6,2,1,5,40,1,760000,705000,NA,0,1
9,1,1,51,1,4,2,1,5,48,1,590000,280514,4,1,0
5,1,1,16,8,3,1,3,NA,NA,NA,NA,78356,1,0,0
6,1,1,57,2,4,2,1,2,5,NA,100000,484167,3,1,0
5,2,2,38,8,4,2,1,5,44,1,810000,311396,4,0,0
7,1,1,3,NA,0,1,NA,NA,NA,NA,NA,187935,2,0,0
16,2,2,70,7,4,2,3,NA,NA,NA,NA,531933,4,0,0
13,1,2,2,NA,0,2,NA,NA,NA,NA,NA,237500,2,0,0
8,1,1,21,8,3,2,3,NA,NA,NA,NA,150293,1,1,0
5,1,1,34,1,4,2,1,5,44,1,800000,318224,4,0,0
2,1,2,27,2,4,2,3,NA,NA,NA,NA,135622,2,0,0
7,1,2,35,8,6,2,1,4,42,1,1000000,675000,4,0,0
3,1,1,23,8,5,2,3,NA,NA,NA,NA,373125,4,0,0
7,1,2,63,1,1,2,3,NA,NA,NA,NA,415711,4,0,0
4,1,1,31,8,4,2,1,5,84,1,600000,646667,4,0,0
13,1,1,32,2,5,2,1,5,30,1,480000,787500,4,0,0
13,1,1,29,8,6,2,1,3,60,1,5000000,2350000,4,0,0
12,1,1,31,2,4,2,1,5,44,1,800000,254375,4,1,0
4,1,2,86,1,1,2,3,NA,NA,NA,NA,568372,4,0,0
9,1,1,36,1,6,2,1,3,10,1,195000,481667,4,0,0
6,1,1,58,8,6,2,1,5,44,3,500000,375000,4,0,0
8,1,2,23,8,0,1,3,NA,NA,NA,NA,438099,4,0,0
14,2,1,33,2,4,2,1,2,50,NA,200000,196178,2,0,0
9,1,1,54,1,6,2,1,3,44,1,3000000,1209000,4,0,0
13,1,1,58,1,6,2,1,5,40,1,3500000,1463555,4,0,0
8,1,1,15,8,3,1,3,NA,NA,NA,NA,858333,4,0,0
10,1,1,60,8,6,2,1,5,45,1,500000,409687,NA,0,0
8,1,2,7,NA,1,1,NA,NA,NA,NA,NA,472843,4,1,0
5,2,1,38,2,4,2,1,5,24,1,600000,407081,4,0,0
5,1,2,1,NA,0,2,NA,NA,NA,NA,NA,380000,4,0,0
2,1,2,61,7,1,2,3,NA,NA,NA,NA,471000,2,0,0
13,1,1,35,8,6,2,1,5,44,1,1100000,1415000,4,0,1
15,1,1,58,5,4,2,3,NA,NA,NA,NA,992222,4,0,0
16,1,1,57,1,2,2,2,NA,NA,NA,NA,492374,4,0,0
5,1,1,9,NA,1,1,NA,NA,NA,NA,NA,770000,4,0,0
13,1,1,10,NA,1,1,NA,NA,NA,NA,NA,316720,3,0,0
5,1,1,23,8,4,2,1,2,20,NA,150000,359531,4,0,0
7,1,2,3,NA,0,1,NA,NA,NA,NA,NA,162780,2,0,0
16,1,1,63,8,0,2,1,2,20,NA,300000,211292,2,0,0
14,1,1,6,NA,1,1,NA,NA,NA,NA,NA,92156,1,0,0
9,1,2,48,5,5,2,3,NA,NA,NA,NA,290414,4,0,0
4,1,2,51,8,4,2,1,5,20,3,300000,613658,4,0,0
13,1,1,25,8,6,2,1,5,36,2,500000,325543,4,0,0
6,1,1,14,8,2,2,NA,NA,NA,NA,NA,11750,2,0,0
12,1,2,35,1,6,2,3,NA,NA,NA,NA,502708,4,0,0
2,1,2,25,8,5,1,1,5,45,1,800000,601042,4,0,1
12,1,2,52,8,4,2,1,5,44,1,600000,527500,4,1,0
7,1,1,78,1,6,2,3,NA,NA,NA,NA,1100000,4,0,0
5,1,1,62,1,3,2,1,2,100,NA,1500000,1212361,4,1,0
7,2,2,7,NA,1,1,NA,NA,NA,NA,NA,336815,4,0,0
12,1,2,33,1,4,2,3,NA,NA,NA,NA,547527,4,0,0
13,1,1,24,8,2,2,3,NA,NA,NA,NA,500762,4,0,0
3,1,1,52,2,1,2,1,5,60,1,500000,158769,1,1,0
6,2,1,70,2,1,2,3,NA,NA,NA,NA,808250,4,0,0
8,2,1,77,1,2,2,3,NA,NA,NA,NA,345499,4,1,0
6,1,1,34,2,2,2,3,NA,NA,NA,NA,123104,2,0,0
8,1,2,4,NA,0,1,NA,NA,NA,NA,NA,265801,3,0,0
5,2,2,23,8,6,2,3,NA,NA,NA,NA,82134,2,0,0
11,1,1,58,1,6,2,3,NA,NA,NA,NA,433333,4,0,0
12,1,2,6,NA,0,1,NA,NA,NA,NA,NA,413533,4,0,0
4,1,2,37,2,6,2,1,4,44,1,900000,487500,4,0,0
15,1,1,61,8,6,2,1,5,48,1,580000,445000,4,0,0
8,1,1,10,NA,1,1,NA,NA,NA,NA,NA,316074,4,0,0
5,1,1,33,8,6,2,1,8,40,1,950000,1617917,4,0,0
13,1,2,74,4,6,2,3,NA,NA,NA,NA,614296,4,0,0
12,1,1,49,6,4,2,1,3,44,1,900000,530792,4,1,0
10,1,2,31,2,4,2,2,NA,NA,NA,NA,294224,4,1,0
7,1,1,58,5,4,2,2,NA,NA,NA,NA,270000,1,0,0
13,1,2,30,8,5,1,3,NA,NA,NA,NA,552572,4,0,0
9,1,2,54,6,3,2,1,5,44,1,500000,290083,3,1,0
9,1,1,40,1,6,2,1,3,60,1,6000000,6450000,4,0,0
13,1,2,52,2,3,2,1,5,44,1,500000,407805,4,0,0
8,1,2,14,8,3,1,NA,NA,NA,NA,NA,302667,4,0,0
6,2,1,66,1,1,2,3,NA,NA,NA,NA,491460,3,0,0
3,1,2,25,8,6,2,1,3,48,1,1350000,1370600,4,0,0
7,2,2,9,NA,1,1,NA,NA,NA,NA,NA,207576,2,0,0
6,2,2,26,2,4,2,3,NA,NA,NA,NA,151333,2,0,0
8,1,2,51,8,0,2,3,NA,NA,NA,NA,359021,4,0,0
8,1,2,56,1,2,2,2,NA,NA,NA,NA,406331,3,0,0
12,2,1,82,8,0,2,1,5,42,1,550000,964296,4,0,0
4,1,2,19,8,4,2,3,NA,NA,NA,NA,266247,2,0,0
7,1,1,35,8,4,2,1,5,44,3,400000,700000,4,0,0
7,2,2,23,8,5,1,1,5,45,2,600000,353971,4,0,0
16,1,1,24,1,5,2,1,5,48,1,500000,366667,3,0,0
5,1,2,82,7,4,2,3,NA,NA,NA,NA,900000,4,0,0
6,1,2,51,8,4,2,1,5,45,1,500000,320146,4,0,0
1,1,2,10,NA,1,1,NA,NA,NA,NA,NA,570000,4,0,0
3,1,2,1,NA,0,1,NA,NA,NA,NA,NA,571945,4,0,0
4,1,2,28,8,5,1,3,NA,NA,NA,NA,537000,4,1,0
13,1,2,64,5,6,2,3,NA,NA,NA,NA,247106,3,0,0
5,1,1,16,8,3,1,3,NA,NA,NA,NA,425456,4,0,0
7,1,1,24,8,4,2,1,5,44,3,800000,389150,4,0,1
6,2,2,49,2,6,2,1,5,45,1,900000,1066667,4,0,0
13,1,2,69,7,3,2,1,2,10,NA,140000,815000,3,0,0
8,1,2,22,8,5,1,3,NA,NA,NA,NA,312500,4,0,0
13,1,1,46,8,4,2,1,5,70,1,600000,634159,4,0,0
5,1,2,71,8,1,2,3,NA,NA,NA,NA,566287,2,0,0
14,2,1,40,8,4,2,1,5,44,1,500000,444648,4,0,0
4,1,1,15,8,3,1,3,NA,NA,NA,NA,570417,4,1,0
12,1,2,24,8,4,2,1,5,44,1,550000,670000,4,1,0
16,2,1,50,1,2,2,1,5,40,3,200000,210510,2,0,0
4,1,1,68,1,3,2,3,NA,NA,NA,NA,542859,4,0,0
7,1,1,78,1,1,2,3,NA,NA,NA,NA,344667,4,0,0
5,1,2,1,NA,0,1,NA,NA,NA,NA,NA,1119167,4,0,0
12,1,2,16,8,3,1,3,NA,NA,NA,NA,300992,3,0,0
1,1,1,80,1,3,2,3,NA,NA,NA,NA,433898,4,0,0
13,1,1,55,2,4,2,1,5,44,1,450000,686667,4,1,0
13,1,2,38,8,4,2,1,2,30,NA,700000,379118,3,0,1
7,1,2,2,NA,0,1,NA,NA,NA,NA,NA,141161,2,0,0
4,1,1,35,8,6,2,1,5,40,1,700000,514765,4,0,0
8,1,2,49,8,4,2,1,3,20,1,300000,370972,4,0,0
15,1,1,10,NA,1,1,NA,NA,NA,NA,NA,137264,2,0,0
1,1,2,29,2,6,2,1,5,40,1,150000,353156,4,0,0
14,1,2,6,NA,0,1,NA,NA,NA,NA,NA,604272,NA,0,0
